id,source,link,mydate,category,listname
1206,"Premiere Magazine","http://www.premiere.com/features/3332/the-24-finest-performances-of-2006.html","12/27/06 00:00:00","Film","24 Finest Performances"
1207,"ContraCosta Times","http://www.contracostatimes.com/mld/cctimes/16301047.htm","12/27/06 00:00:00","Music","Best CDs"
1208,"Denver Post","http://www.denverpost.com/headlines/ci_4881634","12/27/06 00:00:00","Music","Best Music"
1209,"Albums of the Year","http://www.canada.com/montrealgazette/news/arts/story.html?id=6f333d2a-be9d-4ae3-a77e-39380cc36f07","12/27/06 00:00:00","Music","Montreal Gazette"
1210,"New York Daily News","http://www.nydailynews.com/entertainment/music/story/482455p-406073c.html","12/27/06 00:00:00","Music","Top 10"
1211,"Orlando Sun-Sentinel","http://www.sun-sentinel.com/features/lifestyle/sfl-mutop10albumsdec24,0,4879952.story?coll=sfla-features-headlines","12/27/06 00:00:00","Music","Top 10"
1212,"Wired News","http://www.wired.com/news/culture/0,72341-0.html","12/27/06 00:00:00","Musicvideos","The Year in Online Video"
1213,"Wired News","http://www.wired.com/news/technology/0,72320-0.html","12/27/06 00:00:00","People","Foot in Mouth Awards"
1214,"Fast Company","http://www.fastcompany.com/slideshow/slideviewer.cgi?list=creativeminds06&dir=&config=&refresh=15&direction=forward&scale=0&cycle=on&slide=4&design=default&total=11","12/27/06 00:00:00","People","Top 10 Creative Minds"
1215,"Fast Company","http://www.fastcompany.com/slideshow/slideviewer.cgi?list=best-business-books-2006&dir=&config=&refresh=15&direction=forward&scale=0&cycle=on&slide=8&design=default&total=14","12/27/06 00:00:00","Business","Top 10 Business Books"
1216,"Modern Fabulousity","http://modernfabulousity.blogspot.com/2006/12/modfabulous-2006-best-theatre-of-year.html","12/27/06 00:00:00","Theater","Best Theater"
1217,"IGN","http://music.ign.com/articles/752/752309p1.html","12/27/06 00:00:00","Music","Awards Tour"
1218,"IGN","http://bestof.ign.com/2006/movies/","12/27/06 00:00:00","Film","Best Movies"
1219,"IGN","http://bestof.ign.com/2006/tv/","12/27/06 00:00:00","TV","Television Awards"
1220,"The Onion A/V Club","http://www.avclub.com/content/node/56969","12/27/06 00:00:00","Music","Least Essential Albums"
1307,"Wall Street Journal","http://online.wsj.com/public/article/SB116723517450960571-T5jkvUIRTe_JH_Oq0nB2e8AaF_c_20071229.html?mod=tff_main_tff_top","01/01/07 00:00:00","Media","Top 15 Most-Read Articles"
1308,"Wall Street Journal","http://online.wsj.com/public/resources/documents/info-markets2006.html","01/01/07 00:00:00","Miscellaneous","Markets Scorecard"
1309,"Time","http://www.time.com/time/topten/2006/videogames/01.html","01/01/07 00:00:00","Games","Top 10 Games"
1310,"Game Tunnel","http://gametunnel.com/articles.php?id=569","01/01/07 00:00:00","Games","Top 10 Games"
1311,"Worth Playing","http://www.worthplaying.com/article.php?sid=39624","01/01/07 00:00:00","Games","Top 20 Games"
1312,"Time","http://www.time.com/time/topten/2006/television/01.html","01/01/07 00:00:00","TV","Top 10 Shows"
1313,"Time","http://www.time.com/time/topten/2006/albums/01.html","01/01/07 00:00:00","Music","Top 10 Albums"
1314,"Time","http://www.time.com/time/topten/2006/songs/01.html","01/01/07 00:00:00","Music","Top 10 Songs"
1315,"Time","http://www.time.com/time/topten/2006/podcasts/01.html","01/01/07 00:00:00","Music","Top 10 Podcasts"
1316,"Time","http://www.time.com/time/topten/2006/websites/01.html","01/01/07 00:00:00","Online","Top 10 Websites"
1317,"Time","http://www.time.com/time/topten/2006/books/01.html","01/01/07 00:00:00","Books","Top 10 Books"
1318,"Time","http://www.time.com/time/topten/2006/comics/01.html","01/01/07 00:00:00","Comics","Top 10 Comics"
1319,"Time","http://www.time.com/time/topten/2006/schickel/01.html","01/01/07 00:00:00","Film","Top 10 Movies"
1320,"Time","http://www.time.com/time/topten/2006/corliss/01.html","01/01/07 00:00:00","Film","Top 10 Movies"
1321,"Time","http://www.time.com/time/topten/2006/webvideos/01.html","01/01/07 00:00:00","Musicvideos","Top 10 Web Videos"
1322,"Time","http://www.time.com/time/topten/2006/dvds/01.html","01/01/07 00:00:00","DVD","Top 10 DVDs"
1323,"Time","http://www.time.com/time/topten/2006/theater/01.html","01/01/07 00:00:00","Theater","Top 10"
1324,"Time","http://www.time.com/time/topten/2006/sports/01.html","01/01/07 00:00:00","Sports","Top 10 Sports Moments"
1325,"Time","http://www.time.com/time/topten/2006/breakups/01.html","01/01/07 00:00:00","People","Top 10 Breakups"
1326,"Time","http://www.time.com/time/topten/2006/buzzwords/01.html","01/01/07 00:00:00","Words","Top 10 Buzzwords"
1327,"Time","http://www.time.com/time/topten/2006/timestories/01.html","01/01/07 00:00:00","Media","Top 10 Stories"
1328,"Time","http://www.time.com/time/topten/2006/underreported/01.html","01/01/07 00:00:00","Media","Top 10 Underreported Stories"
1329,"Time","http://www.time.com/time/topten/2006/cartoons/01.html","01/01/07 00:00:00","Comics","Top 10 Cartoons"
1330,"Time","http://www.time.com/time/topten/2006/medical/01.html","01/01/07 00:00:00","Science","Top 10"
1331,"Time","http://www.time.com/time/topten/2006/scandals/01.html","01/01/07 00:00:00","People","Top 10 Scandals"
1332,"Time","http://www.time.com/time/topten/2006/bizdeals/01.html","01/01/07 00:00:00","Business","Top 10 Business Deals"
1333,"Time","http://www.time.com/time/topten/2006/fashion/01.html","01/01/07 00:00:00","Fashion","Top 10 Fashion Trends"
1334,"Time","http://www.time.com/time/topten/2006/crimes/01.html","01/01/07 00:00:00","Miscellaneous","Top 10 Shocking Crimes"
1335,"People","http://www.people.com/people/package/bwd2006/0,27406,1531797,00.html","01/01/07 00:00:00","Fashion","Best & Worst Dressed"
1336,"CNN Money","http://money.cnn.com/magazines/moneymag/bestcars/index.html","01/01/07 00:00:00","Automobiles","Best Cars"
1337,"Car & Driver","http://www.caranddriver.com/bestcars/10354/10best-cars-2006.html","01/01/07 00:00:00","Automobiles","10 Best Cars"
1338,"Forbes","http://www.forbes.com/lifestyle/2006/12/08/best-cars-2006-forbeslife-cx_dl_1211bestcars.html","01/01/07 00:00:00","Automobiles","Best Cars"
1339,"CultureBy","http://www.cultureby.com/trilogy/2006/12/top_10_ads_for_.html","01/01/07 00:00:00","Advertising","Top 10 Ads"
1340,"CyberJournalist","http://www.cyberjournalist.net/news/003947.php","01/01/07 00:00:00","Media","Top Online Media Stories"
1341,"About.com","http://netforbeginners.about.com/od/peersharing/a/torrent_search.htm","01/01/07 00:00:00","Online","Top 35 Torrent Sites"
1342,"Princeton","http://www.princeton.edu/~artofsci/gallery2006/","01/01/07 00:00:00","Art","Art of Science"
1343,"Defense Tech","http://www.defensetech.org/archives/003091.html","01/01/07 00:00:00","Miscellaneous","20 Biggest Defense Stories"
1344,"Slate.com","http://www.slate.com/id/2156652/","01/01/07 00:00:00","Film","Top 10 Movies"
1345,"Washington Post","http://www.washingtonpost.com/wp-srv/photo/galleries/bop2006/index.html","01/01/07 00:00:00","Photos","Best of the Post"
1346,"Bookgasm","http://www.bookgasm.com/reviews/sci-fi/5-best-sci-fi-books-of-2006/","01/01/07 00:00:00","Books","5 Best Sci-Fi Books"
1347,"Retrocrush","http://www.retrocrush.com/archive2007/annoying/","01/01/07 00:00:00","Miscellaneous","100 Most Annoying Things"
1348,"Newsday","http://www.newsday.com/features/booksmags/ny-e5030920dec31,0,4076997.story?coll=ny-books-print","01/01/07 00:00:00","Books","Favorite Books"
1349,"WFMU","http://blog.wfmu.org/freeform/2006/12/top_ten_orwelli.html","01/01/07 00:00:00","Miscellaneous","Top Ten Orwellian Moments"
1350,"Detroit Free Press","http://www.freep.com/apps/pbcs.dll/article?AID=/20061231/ENT04/612310494/1039/ENT","01/01/07 00:00:00","Music","Top 10 Albums"
1351,"Detroit Free Press","http://www.freep.com/apps/pbcs.dll/article?AID=/20061231/ENT04/612310493/1039","01/01/07 00:00:00","Music","Top 10 Albums"
1352,"PopBytes","http://popbytes.com/archive/2006/12/popbytes_top_ten_favorite_albums_of_2006.shtml","01/01/07 00:00:00","Music","Top 10 Albums"
1353,"Raleigh News & Observer","http://www.newsobserver.com/105/story/527193.html","01/01/07 00:00:00","Music","Top 10 Albums"
1354,"Washington Times","http://washingtontimes.com/entertainment/20061228-093233-6951r.htm","01/01/07 00:00:00","Music","Top 10 Music CDs"
1355,"Reality Blurred","http://www.realityblurred.com/realitytv/archives/reality_blurred/2006_Dec_28_year_2006","01/01/07 00:00:00","TV","The Year in Reality TV"
1356,"Salon","http://www.salon.com/sports/feature/2007/01/01/year_in_sports/","01/01/07 00:00:00","Sports","Year in Sports"
1358,"TransBuddha","http://www.transbuddha.com/index.php/C114/","01/02/07 00:00:00","Musicvideos","The Year in Music Videos"
1359,"Energy Information Administration","http://tonto.eia.doe.gov/oog/info/twip/twipprint.html","01/02/07 00:00:00","Miscellaneous","The Year in Energy"
1360,"The Streets","http://www.thestreet.com/_dm/newsanalysis/dumbest/10328861.html","01/02/07 00:00:00","Business","5 Dumbest Things on Wall Street"
1361,"Top 100 Videos","http://www.tophundredvideos.com/","01/02/07 00:00:00","Musicvideos","Top 100 Videos"
1362,"Slate.com","http://www.slate.com/id/2156027/pagenum/all","01/02/07 00:00:00","Miscellaneous","The Year in Culture"
1363,"Slate.com","http://www.slate.com/id/2156397/","01/02/07 00:00:00","Miscellaneous","10 Most Outrageous Civil Liberties Violations"
1364,"Macworld","http://www.macworld.com/2006/12/reviews/fivemouse/index.php","01/02/07 00:00:00","Science","Best Mac Stuff"
1365,"Frederik Samuel","http://www.frederiksamuel.com/blog/2006/12/2006-year-in-review.html","01/02/07 00:00:00","Design","Advertising/Design Goodness"
1366,"Inhabitat","http://inhabitat.com/2006/12/31/top-10-green-design-of-2006/","01/02/07 00:00:00","Design","Year in Green Design"
1367,"American Institute of Physics","http://www.aip.org/pnu/2006/split/804-1.html","01/02/07 00:00:00","Science","Physics Story of the Year"
1368,"Space.com","http://www.space.com/bestimg/index.php?cat=bestimg2006","01/02/07 00:00:00","Photos","Best Space Images"
1369,"Art Fag City","http://artfagcity.blogspot.com/2006/12/best-of-web-2006.html","01/02/07 00:00:00","Online","Best of the Web"
1370,"SF Signal","http://www.sfsignal.com/archives/004631.html","01/02/07 00:00:00","Books","Science Fiction Year in Review"
1371,"Kottke.org","http://www.kottke.org/07/01/the-best-links-2006","01/03/07 00:00:00","Online","The Best Links"
1372,"Shots Ring Out","http://www.shotsringout.com/?p=230","01/03/07 00:00:00","Musicvideos","Top 56 Music Videos"
1373,"Daryl Cagle","http://www.cagle.com/news/2006best/","01/03/07 00:00:00","Comics","Year in Review"
1374,"Entertainment Weekly","http://www.ew.com/ew/report/0,6115,1572715_5_0_,00.html","01/03/07 00:00:00","Comics","Year in Review"
1375,"Publisher's Weekly","http://www.publishersweekly.com/article/CA6401289.html","01/03/07 00:00:00","Comics","Comics Week Critic's Poll"
1376,"If Magazine","http://ifmagazine.com/feature.asp?article=1825","01/03/07 00:00:00","Comics","Worst Comics"
1377,"Pittsburgh Post- Gazette","http://www.post-gazette.com/pg/07003/750730-44.stm","01/03/07 00:00:00","Comics","Best Comics"
1378,"Rocky Mountain News","http://www.rockymountainnews.com/drmn/other_spotlight/article/0,2777,DRMN_23960_5236380,00.html","01/03/07 00:00:00","Comics","Top 10 Comics"
1379,"Pop Culture Shock","http://www.popcultureshock.com/off-topic-2006-top-10/40791/","01/03/07 00:00:00","Comics","Top 10 Comics"
1380,"eWeek","http://www.eweek.com/article2/0,1895,2078362,00.asp","01/03/07 00:00:00","Tech","Five Hackers Who Left a Mark"
1381,"Cracked","http://www.cracked.com/index.php?name=News&sid=1457","01/03/07 00:00:00","People","10 Most Dead People"
1382,"Wikipedia","http://en.wikipedia.org/wiki/2006_in_music#Bands_disbanded","01/03/07 00:00:00","Music","Bands that Disbanded"
1383,"Video Librarian","http://www.videolibrarian.com/bestof2006.html","01/03/07 00:00:00","Film","Best Documentaries"
1384,"National Geographic","http://news.nationalgeographic.com/news/2006/12/061208-top-videos.html","01/03/07 00:00:00","Musicvideos","Top 10 Videos"
1385,"Birdsource.org","http://gbbc.birdsource.org/gbbcApps/top10","01/03/07 00:00:00","Miscellaneous","Most Frequently Reported Birds"
1386,"CBC.ca","http://www.cbc.ca/arts/media/top_100_of_2006.html","01/03/07 00:00:00","Miscellaneous","Top 100 Things We Love"
1387,"Village Voice","http://villagevoice.com/film/0701,hoberman,75441,20.html","01/04/07 00:00:00","Film","Top 10"
1388,"Village Voice","http://villagevoice.com/screens/0701,goldberg,75460,28.html","01/04/07 00:00:00","Games","Best Games"
1389,"Wired News","http://www.wired.com/news/technology/internet/0,72396-0.html","01/04/07 00:00:00","Online","Best Blog Fights"
1390,"New Launches","http://www.newlaunches.com/archives/top_5_robots_of_2006.php","01/04/07 00:00:00","Science","Top 5 Robots"
1391,"Pop Combat","http://popcombat.blogspot.com/2007/01/top-50-music-videos-of-2006.html","01/05/07 00:00:00","Musicvideos","Top 50 Music Videos"
1392,"Art Fag City","http://artfagcity.blogspot.com/2007/01/worst-of-web-2006.html","01/05/07 00:00:00","Online","Worst of the Web"
1393,"Nielsen BuzzMetrics","http://adage.com/digital/article.php?article_id=114012","01/05/07 00:00:00","Online","Top Blog Posts of the Year"
1394,"Barnes & Noble","http://www.barnesandnoble.com/newsletters/newsletters_cds2.asp?PID=1401&z=y&cds2Pid=796&linkid=819624","01/05/07 00:00:00","Books","Top Ten Sci-Fi Novels"
1395,"Barnes & Noble","http://www.barnesandnoble.com/bestof_cds2.asp?PID=1215&z=y&cds2Pid=91&linkid=822519","01/05/07 00:00:00","Books","Staff Favorites"
1396,"Barnes & Noble","http://www.barnesandnoble.com/bestsellers/warnew_rnav.asp?PID=6878&z=y","01/05/07 00:00:00","Books","Bestsellers"
1397,"Tickle Booth","http://ticklebooth.com/2007/01/ticklebooths-best-online-videos-of-2006/","01/05/07 00:00:00","Musicvideos","Best Online Video"
1398,"Idolator","http://www.idolator.com/jackinpop2006/","01/05/07 00:00:00","Music","Jackin' Pop"
1399,"American Dialect Society","http://www.americandialect.org/index.php/amerdial/plutoed_voted_2006_word_of_the_year/","01/06/07 00:00:00","Words","Word of the Year"
1400,"Nielsen BuzzMetrics","http://nielsenbuzzmetrics.com/mouthpiece/archives/2007/01/top_100_blog.html","01/07/07 00:00:00","Online","Top 100 Blog Posts"
1401,"National Society of Film Critics","http://www.indiewire.com/movies/2007/01/the_critics_hav.html","01/07/07 00:00:00","Film","Best Film"
1402,"PopMatters","http://www.popmatters.com/pm/features/article/9469/unkept-promises-most-disappointing-films-of-2006/","01/08/07 00:00:00","Film","Most Disappointing Films"
1403,"Forbes","http://money.cnn.com/magazines/fortune/bestcompanies/2007/full_list/","01/09/07 00:00:00","Business","100 Best Companies To Work For 2007"
1404,"CD Reviews","http://cdreviews.com/index.php?option=content&task=view&id=1688&Itemid=42","01/10/07 00:00:00","Music","10 Worst Album Covers"
1405,"Time Out New York","http://www.timeout.com/newyork/Details.do?page=13&xyurl=xyl://TONYWebArticles2/587/comedy/the_best_and_worst_of_2006.xml","01/10/07 00:00:00","Comedy","Best and Worst Comedy"
1406,"Time Out New York","http://www.timeoutny.com/newyork/Details.do?page=1&xyurl=xyl://TONYWebArticles2/587/music/the_best_albums_of_2006.xml","01/10/07 00:00:00","Music","Best Albums"
1407,"Time Out New York","http://www.timeout.com/newyork/Details.do?page=12&xyurl=xyl://TONYWebArticles2/587/theater/the_best_and_worst_of_2006.xml","01/10/07 00:00:00","Theater","Best and Worst Theater"
1408,"Time Out New York","http://www.timeout.com/newyork/Details.do?page=12&xyurl=xyl://TONYWebArticles2/587/books/the_best_and_worst_of_2006.xml","01/10/07 00:00:00","Books","Best and Worst Books"
1409,"Time Out New York","http://www.timeout.com/newyork/Details.do?page=12&xyurl=xyl://TONYWebArticles2/587/art/the_best_and_worst_of_2006.xml","01/10/07 00:00:00","Art","Best and Worst Art"
1410,"Mr. Blackwell","http://www.usatoday.com/life/people/2007-01-09-blackwell-list_x.htm","01/11/07 00:00:00","Fashion","Worst Dressed"
1411,"The Music Box","http://www.musicbox-online.com/2006.html","01/14/07 00:00:00","Music","Best Albums"
1412,"Splash Panel","http://splashpanel.com/archives/best-graphic-novels-of-2006/","01/14/07 00:00:00","Comics","Best Graphic Novels"
1413,"Onion A/V Club","http://www.avclub.com/content/node/57488","01/14/07 00:00:00","Music","Worst Band Names"
1414,"DVD Ideas","http://www.dvdideas.com/index.asp/KeyId/460/Best-of-2006-DVD/","01/15/07 00:00:00","Film","Best Movies"
1415,"Stylus","http://www.stylusmagazine.com/articles/weekly_article/stylus-magazines-top-15-movies-of-2006.htm","01/16/07 00:00:00","Film","15 Best Movies"
1416,"The Beast","http://buffalobeast.com/113/50_most_loathsome_2006.htm","01/21/07 00:00:00","People","50 Most Loathsome People in America"
1417,"Consumer Affair","http://www.consumeraffairs.com/news04/2006/12/top_ten_scams.html","01/27/07 00:00:00","Miscellaneous","Top 10 Scams"
1418,"Media Matters","http://mediamatters.org/items/200612220013","01/27/07 00:00:00","People","Most Outrageous Comments"
1419,"Project Censored","http://www.projectcensored.org/censored_2007/index.htm","10/30/07 00:00:00","Media","Top 25 Censored News Stories"
1420,"Metacritic","http://www.metacritic.com/music/bests/2007.shtml","10/30/07 00:00:00","Music","Best Albums"
1421,"Piero Scaruffi","http://scaruffi.com/ratings/2007.html","10/30/07 00:00:00","Music","Best Rock Albums"
1422,"RateYourMusic","http://rateyourmusic.com/charts/top/album/2007","10/30/07 00:00:00","Music","Top Albums of 2007"
1423,"RateYourMusic","http://rateyourmusic.com/charts/top/single/2007","10/30/07 00:00:00","Music","Top Singles"
1424,"MTV","http://en.wikipedia.org/wiki/2007_MTV_Video_Music_Awards","10/30/07 00:00:00","Music","Music Video Awards"
1425,"Rotten Tomatoes","http://www.rottentomatoes.com/top/bestofrt_year.php?year=2007","10/30/07 00:00:00","Film","Top Movies"
1426,"Chris Ware","http://www.amazon.com/gp/redirect.html?ie=UTF8&location=http%3A%2F%2Fwww.amazon.com%2FBest-American-Comics-2007%2Fdp%2F0618718761%2F&tag=lukeprogcom-20&linkCode=ur2&camp=1789&creative=9325","10/30/07 00:00:00","Comics","Best American Comics"
1427,"linuxgames","http://linuxgames07.blogspot.com/2007/09/top-21-linux-games-of-2007.html","10/30/07 00:00:00","Games","Top 21 Linux Games"
1221,"Jay Is Games","http://jayisgames.com/bestof/2006/best_of_casual_gameplay.php","12/27/06 00:00:00","Games","Best of Casual Gameplay"
1222,"Screenhead","http://www.screenhead.com/reviews/biggest-box-office-flops-of-2006/","12/27/06 00:00:00","Film","Biggest Box Office Flops"
1223,"The Fader","http://thefader.com/blog/articles/2006/12/23/listmania-2006","12/27/06 00:00:00","Music","Listamania"
1224,"San Francisco Bay Guardian","http://www.sfbg.com/entry.php?entry_id=2457","12/27/06 00:00:00","Film","Top 10s, Rants, and Raves"
1225,"Cinematical","http://www.cinematical.com/2006/12/26/the-top-ten-films-of-2006-in-no-particular-order-after-1/","12/27/06 00:00:00","Film","Top Ten Films"
1226,"Cinematical","http://www.cinematical.com/2006/12/27/top-10-guilty-pleasures-of-2006/","12/27/06 00:00:00","Film","Top 10 Guilty Pleasures"
1227,"Wired News","http://www.wired.com/news/technology/0,72350-0.html","12/27/06 00:00:00","Science","Vaporware"
1228,"Pink Is the New Blog","http://trent.blogspot.com/2006/12/my-top-movies-tv-shows-of-2006.html","12/27/06 00:00:00","Film","Top Movies & TV Shows"
1229,"GigaOM","http://gigaom.com/2006/12/27/2006-a-tumultuous-year-in-broadband/","12/27/06 00:00:00","Science","A Tumultuous Year in Broadband"
1230,"10 Zen Monkeys","http://www.10zenmonkeys.com/2006/12/27/worst-vlogs-of-2006/","12/27/06 00:00:00","Musicvideos","Worst Vlogs"
1231,"Sports Illustrated","http://sportsillustrated.cnn.com/2006/writers/richard_deitsch/12/26/media.circus/index.html","12/27/06 00:00:00","Sports","Media Awards"
1232,"Reality Blurred","http://www.realityblurred.com/realitytv/archives/reality_blurred/2006_Dec_22_reality_whores_2006","12/27/06 00:00:00","TV","Top Reality Whores"
1233,"Salon.com","http://www.salon.com/opinion/feature/2006/12/26/year_in_politics/","12/27/06 00:00:00","People","The Year in Politics"
1234,"Salon.com","http://www.salon.com/ent/movies/feature/2006/12/27/best_movies_sz/","12/27/06 00:00:00","Film","Cinema to Savor"
1235,"TV Addict","http://thetvaddict.com/?p=1243","12/27/06 00:00:00","TV","Year in Review"
1236,"The Morning News","http://www.themorningnews.org/archives/reviews/the_top_10_albums_of_2006.php","12/27/06 00:00:00","Music","Top 10 Albums"
1237,"Whatevs","http://www.whatevs.org/2006_12_17_whatevs_archive.html#116672918269305814","12/27/06 00:00:00","Music","Best Singles"
1238,"Wired News","http://www.wired.com/news/technology/software/0,72360-0.html","12/27/06 00:00:00","Online","The Year in Browsers"
1239,"Baltimore City Paper","http://www.citypaper.com/news/story.asp?id=13073","12/27/06 00:00:00","People","People Who Died"
1240,"Talkin Broadway","http://www.talkinbroadway.com/world/Top10of2006.html","12/27/06 00:00:00","Theater","Top 10 Plays and Musicals"
1241,"Fleshbot","http://www.fleshbot.com/sex/sex-toys/fleshbots-top-ten-sex-toys-of-2006-224200.php","12/27/06 00:00:00","Miscellaneous","Top 10 Sex Toys"
1242,"Discover","http://www.discover.com/issues/jan-07/features/earth-science/","12/27/06 00:00:00","Science","Top 8 Earth Science Stories"
1243,"Discover","http://www.discover.com/issues/jan-07/features/biology/","12/27/06 00:00:00","Science","Top 12 Biology Stories"
1244,"Discover","http://www.discover.com/issues/jan-07/features/genetics/","12/27/06 00:00:00","Science","Top 6 Genetics Stories"
1245,"Discover","http://www.discover.com/issues/jan-07/features/space/","12/27/06 00:00:00","Science","Top 13 Space Stories"
1246,"Discover","http://www.discover.com/issues/jan-07/features/medicine/","12/27/06 00:00:00","Science","Top 13 Medicine Stories"
1247,"Discover","http://www.discover.com/issues/jan-07/features/paleontology/","12/27/06 00:00:00","Science","Top 8 Paleontology Stories"
1248,"Discover","http://www.discover.com/issues/jan-07/features/technology/","12/27/06 00:00:00","Science","Top 7 Technology Stories"
1249,"Discover","http://www.discover.com/issues/jan-07/features/mind-brain/","12/27/06 00:00:00","Science","Top 6 Mind & Brain Stories"
1250,"Discover","http://www.discover.com/issues/jan-07/features/environment/","12/27/06 00:00:00","Science","Top 6 Environment Stories"
1251,"Modern Fabulousity","http://modernfabulousity.blogspot.com/2006/12/modfabulous-2006-best-blogs-of-year.html","12/28/06 00:00:00","Online","Best Blogs"
1252,"Michael Musto (Village Voice)","http://villagevoice.com/nyclife/0652,musto,75402,15.html","12/28/06 00:00:00","People","The Year in Pop Culture Shame"
1253,"Village Voice","http://villagevoice.com/music/0652,davis,75409,22.html","12/28/06 00:00:00","Music","Jazz Poll"
1254,"Time","http://www.time.com/time/2006/50coolest/index.html","12/28/06 00:00:00","Online","50 Coolest Websites"
1255,"Business 2.0","http://money.cnn.com/magazines/business2/b2fastestgrowing/full_list/","12/29/06 00:00:00","Business","Fastest-Growing Companies"
1256,"Collateral Damage","http://collateraldamage.wordpress.com/2006/12/14/penguins-of-irony-have-decided-10-best-business-quotes-of-the-year/","12/29/06 00:00:00","Business","10 Dumbest Business Quotes"
1257,"Collateral Damage","http://collateraldamage.wordpress.com/2006/12/15/the-penguins-pick-10-best-political-quotes-of-2006/","12/29/06 00:00:00","People","10 Best Political Quotes"
1258,"Bad Astronomy","http://www.badastronomy.com/bablog/2006/12/27/the-top-ten-astronomy-images-of-2006/","12/29/06 00:00:00","Photos","Top Ten Astronomy Images"
1259,"Chicago Reader","http://www.chicagoreader.com/features/stories/criticspicks06/music/","12/29/06 00:00:00","Music","Critics Picks"
1260,"Wired News","http://www.wired.com/news/culture/reviews/0,72365-0.html","12/29/06 00:00:00","Film","Best Shoestring Sci-Fi"
1261,"MSNBC.com","http://www.msnbc.msn.com/id/16173644/","12/29/06 00:00:00","People","The Year of the Sneer"
1262,"MSNBC.com","http://www.msnbc.msn.com/id/16073845/","12/29/06 00:00:00","Media","Most Peculiar Stories"
1263,"MSNBC.com","http://www.msnbc.msn.com/id/16173375/","12/29/06 00:00:00","Media","Happiest Stories"
1264,"MSNBC.com","http://www.msnbc.msn.com/id/16192864/","12/29/06 00:00:00","People","The Year in Celebrity News"
1265,"About.com","http://politicalhumor.about.com/od/stupidquotes/a/dumbquotes2006.htm","12/29/06 00:00:00","People","25 Dumbest Quotes"
1266,"About.com","http://politicalhumor.about.com/od/funnyquotes/a/funnyquotes2006.htm","12/29/06 00:00:00","People","25 Funniest Quotes"
1267,"About.com","http://politicalhumor.about.com/library/blfunnyvideos2006.htm","12/29/06 00:00:00","Musicvideos","20 Funniest Videos"
1268,"Adtunes","http://adtunes.com/archives/2006/12/29/top_ad_music_of_2006.html","12/29/06 00:00:00","Advertising","Top Ad Music"
1269,"Tampa Bay Online","http://www.tbo.com/life/MGBUFCRF5WE.html","12/29/06 00:00:00","Media","50 Things We Know Now"
1270,"Wall Street Journal","http://online.wsj.com/public/article/SB116673133440057042-F8Q5WlUviG9Yuzs1EpmSOCIgUD8_20071228.html?mod=blogs","12/29/06 00:00:00","Sports","Best Sports Columns"
1271,"Best Week Ever","http://www.bestweekever.tv/2006/12/27/the-10-best-10-best-lists-of-2006-3-the-10-gayest-moments-of-2006/","12/29/06 00:00:00","People","10 Gayest Moments"
1272,"San Francisco Chronicle","http://www.sfgate.com/cgi-bin/article.cgi?file=/gate/archive/2006/12/28/violetblue.DTL","12/29/06 00:00:00","Miscellaneous","Top 10 Sex Stories"
1273,"Lifehack.org","http://www.lifehack.org/articles/lifehack/2006-lifehack-review-best-50-hacks-for-your-life.html","12/29/06 00:00:00","Miscellaneous","Best 50 Hacks for Your Life"
1274,"Seattle Post-Intelligencer","http://seattlepi.nwsource.com/books/297557_book29.html","12/29/06 00:00:00","Books","Books of the Year"
1275,"Gawker","http://www.gawker.com/news/top/gawkers-personalities-of-the-year-225097.php","12/29/06 00:00:00","People","Personalities of the Year"
1276,"Wired","http://www.wired.com/news/culture/0,72359-0.html","12/29/06 00:00:00","Games","The Year in Games"
1277,"Salon.com","http://www.salon.com/ent/movies/feature/2006/12/28/best_indies/index_np.html","12/29/06 00:00:00","Film","The Year in Indies"
1278,"Gay City News","http://gaycitynews.com/site/news.cfm?newsid=17644335&BRD=2729&PAG=461&dept_id=569331&rfi=6","12/29/06 00:00:00","Film","Best Films"
1279,"Ain't It Cool News","http://www.aintitcool.com/node/31129","12/29/06 00:00:00","Film","Best Of Year"
1280,"Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2006/12/28/AR2006122800392.html","12/29/06 00:00:00","DVD","Best DVDs"
1281,"10 Zen Monkeys","http://www.10zenmonkeys.com/2006/12/28/ten-video-moments-from-2006/","12/29/06 00:00:00","Musicvideos","Ten Video Moments"
1282,"XLR8R","http://www.xlr8r.com/topstories/2006/12/best_of_2006_best_albums.php","12/29/06 00:00:00","Music","Best Albums"
1283,"Playbill","http://www.playbill.com/features/article/104477.html","12/29/06 00:00:00","Theater","Picks the Top Theatre"
1284,"LA Daily News","http://www.dailynews.com/stage/ci_4913754
","12/29/06 00:00:00","Theater","Memorable Moments in L.A. Theater"
1285,"Global Language Monitor","http://languagemonitor.com/YouthSpeak.html","12/30/06 00:00:00","Words","Top Ten Global YouthSpeak Words"
1286,"Global Language Monitor","http://languagemonitor.com/Top_Word_Lists.html","12/30/06 00:00:00","Words","Top 10 Words"
1287,"Global Language Monitor","http://languagemonitor.com/Names.html","12/30/06 00:00:00","Words","Top 10 Names"
1288,"LAist","http://www.laist.com/archives/2006/12/21/kyle_bunch_of_blogebritys_top_10_blogebrities_of_2006.php","12/30/06 00:00:00","People","Top 10 Blogebrities"
